STATE,YEAR,WIND_PERCENT,SOLAR_PERCENT,WIND_SOLAR_PERCENT
AK,2018,2.48,0.0,2.48
AK,2019,2.36,0.0,2.36
AK,2020,2.06,0.0,2.06
AK,2021,2.01,0.0,2.01
AK,2022,2.1,0.0,2.1
AK,2023,1.68,0.0,1.68
AL,2018,0.0,0.25,0.25
AL,2019,0.0,0.27,0.27
AL,2020,0.0,0.27,0.27
AL,2021,0.0,0.35,0.35
AL,2022,0.0,0.62,0.62
AL,2023,0.0,0.86,0.86
AR,2018,0.0,0.3,0.3
AR,2019,0.0,0.33,0.33
AR,2020,0.0,0.52,0.52
AR,2021,0.0,0.76,0.76
AR,2022,0.0,1.13,1.13
AR,2023,0.0,1.29,1.29
AZ,2018,0.5,4.62,5.12
AZ,2019,0.5,4.65,5.16
AZ,2020,0.62,5.4,6.02
AZ,2021,1.52,6.2,7.72
AZ,2022,1.57,6.82,8.38
AZ,2023,1.59,6.7,8.28
CA,2018,7.06,13.71,20.77
CA,2019,6.68,13.74,20.42
CA,2020,7.01,15.57,22.58
CA,2021,7.7,17.59,25.28
CA,2022,7.22,19.02,26.25
CA,2023,6.48,18.81,25.29
CO,2018,17.75,1.93,19.68
CO,2019,19.42,2.19,21.61
CO,2020,24.86,2.81,27.67
CO,2021,26.91,3.03,29.94
CO,2022,29.51,4.16,33.67
CO,2023,28.33,6.28,34.62
CT,2018,0.03,0.26,0.29
CT,2019,0.03,0.35,0.38
CT,2020,0.03,0.53,0.56
CT,2021,0.03,0.6,0.63
CT,2022,0.03,0.99,1.02
CT,2023,0.03,1.08,1.11
DC,2018,0.0,0.0,0.0
DC,2019,0.0,5.13,5.13
DC,2020,0.0,6.57,6.57
DC,2021,0.0,8.61,8.61
DC,2022,0.0,13.8,13.8
DC,2023,0.0,13.93,13.93
DE,2018,0.1,0.84,0.94
DE,2019,0.12,1.13,1.25
DE,2020,0.13,1.16,1.29
DE,2021,0.16,1.6,1.76
DE,2022,0.11,1.35,1.47
DE,2023,0.11,3.59,3.7
FL,2018,0.0,1.0,1.0
FL,2019,0.0,1.6,1.6
FL,2020,0.0,2.59,2.59
FL,2021,0.0,3.69,3.69
FL,2022,0.0,4.39,4.39
FL,2023,0.0,5.43,5.43
GA,2018,0.0,1.56,1.56
GA,2019,0.0,1.68,1.68
GA,2020,0.0,3.17,3.17
GA,2021,0.0,3.95,3.95
GA,2022,0.0,5.55,5.55
GA,2023,0.0,5.84,5.84
HI,2018,6.21,1.88,8.09
HI,2019,5.49,2.73,8.22
HI,2020,6.55,5.36,11.91
HI,2021,7.15,5.52,12.66
HI,2022,6.71,5.93,12.63
HI,2023,6.93,7.07,14.01
IA,2018,33.71,0.02,33.73
IA,2019,41.51,0.03,41.53
IA,2020,58.1,0.04,58.13
IA,2021,55.4,0.34,55.73
IA,2022,62.61,0.54,63.15
IA,2023,58.94,0.76,59.69
ID,2018,14.73,3.03,17.76
ID,2019,14.05,3.01,17.06
ID,2020,15.74,3.22,18.96
ID,2021,16.12,3.27,19.39
ID,2022,15.1,3.31,18.41
ID,2023,13.74,4.67,18.41
IL,2018,6.41,0.04,6.44
IL,2019,7.9,0.03,7.94
IL,2020,9.52,0.05,9.57
IL,2021,10.79,0.28,11.07
IL,2022,12.81,0.84,13.65
IL,2023,12.46,1.09,13.55
IN,2018,4.83,0.26,5.09
IN,2019,6.13,0.32,6.45
IN,2020,7.22,0.4,7.63
IN,2021,8.86,0.63,9.49
IN,2022,10.29,1.12,11.41
