"","Date","Artist","Venue","Transit Total","Yearly Average","Yearly Median","Mean Differential","Median Differential"
"1",2021-10-03,"Harry Styles","Madison Square Garden",3292980,4163171.29863014,4104865,-870191.29863014,-811885
"2",2021-10-04,"Harry Styles","Madison Square Garden",5457688,4163171.29863014,4104865,1294516.70136986,1352823
"3",2021-10-16,"Harry Styles","Madison Square Garden",3969413,4163171.29863014,4104865,-193758.29863014,-135452
"4",2021-10-30,"Harry Styles","Madison Square Garden",3879157,4163171.29863014,4104865,-284014.29863014,-225708
"5",2021-10-31,"Harry Styles","Madison Square Garden",3377067,4163171.29863014,4104865,-786104.29863014,-727798
"6",2022-06-04,"Coldplay","MetLife Stadium",4241539,5126177.97260274,5545873,-884638.97260274,-1304334
"7",2022-06-05,"Coldplay","MetLife Stadium",3447316,5126177.97260274,5545873,-1678861.97260274,-2098557
"8",2022-07-16,"The Weeknd","MetLife Stadium",4107596,5126177.97260274,5545873,-1018581.97260274,-1438277
"9",2022-08-20,"Harry Styles","Madison Square Garden",4078812,5126177.97260274,5545873,-1047365.97260274,-1467061
"10",2022-08-21,"Harry Styles","Madison Square Garden",3412151,5126177.97260274,5545873,-1714026.97260274,-2133722
"11",2022-08-22,"Harry Styles","Madison Square Garden",4981200,5126177.97260274,5545873,-144977.97260274,-564673
"12",2022-08-26,"Harry Styles","Madison Square Garden",5382490,5126177.97260274,5545873,256312.02739726,-163383
"13",2022-08-27,"Harry Styles","Madison Square Garden",4129321,5126177.97260274,5545873,-996856.97260274,-1416552
"14",2022-08-28,"Harry Styles","Madison Square Garden",3453457,5126177.97260274,5545873,-1672720.97260274,-2092416
"15",2022-09-01,"Harry Styles","Madison Square Garden",5808764,5126177.97260274,5545873,682586.02739726,262891
"16",2022-09-02,"Harry Styles","Madison Square Garden",5535781,5126177.97260274,5545873,409603.02739726,-10092
"17",2022-09-03,"Harry Styles","Madison Square Garden",4138664,5126177.97260274,5545873,-987513.97260274,-1407209
"18",2022-09-07,"Harry Styles","Madison Square Garden",6213338,5126177.97260274,5545873,1087160.02739726,667465
"19",2022-09-08,"Harry Styles","Madison Square Garden",6540681,5126177.97260274,5545873,1414503.02739726,994808
"20",2022-09-10,"Harry Styles","Madison Square Garden",4473063,5126177.97260274,5545873,-653114.97260274,-1072810
"21",2022-09-14,"Harry Styles","Madison Square Garden",6707747,5126177.97260274,5545873,1581569.02739726,1161874
"22",2022-09-15,"Harry Styles","Madison Square Garden",6711413,5126177.97260274,5545873,1585235.02739726,1165540
"23",2022-09-21,"Harry Styles","Madison Square Garden",6797119,5126177.97260274,5545873,1670941.02739726,1251246
"24",2023-04-01,"Bruce Springsteen","Madison Square Garden",4170216,5605386.96438356,6118881,-1435170.96438356,-1948665
"25",2023-05-26,"Taylor Swift","MetLife Stadium",6288267,5605386.96438356,6118881,682880.035616438,169386
"26",2023-05-27,"Taylor Swift","MetLife Stadium",4406043,5605386.96438356,6118881,-1199343.96438356,-1712838
"27",2023-05-28,"Taylor Swift","MetLife Stadium",3867911,5605386.96438356,6118881,-1737475.96438356,-2250970
"28",2023-06-10,"Ed Sheeran","MetLife Stadium",4769824,5605386.96438356,6118881,-835562.964383562,-1349057
"29",2023-06-11,"Ed Sheeran","MetLife Stadium",3972288,5605386.96438356,6118881,-1633098.96438356,-2146593
"30",2023-07-29,"Beyonce","MetLife Stadium",4305534,5605386.96438356,6118881,-1299852.96438356,-1813347
"31",2023-07-30,"Beyonce","MetLife Stadium",3874955,5605386.96438356,6118881,-1730431.96438356,-2243926
"32",2023-08-03,"P!NK","Citi Field",6409371,5605386.96438356,6118881,803984.035616438,290490
"33",2023-08-04,"Metallica","MetLife Stadium",5856408,5605386.96438356,6118881,251021.035616438,-262473
"34",2023-08-06,"Metallica","MetLife Stadium",3806855,5605386.96438356,6118881,-1798531.96438356,-2312026
"35",2023-08-30,"Bruce Springsteen","MetLife Stadium",6137608,5605386.96438356,6118881,532221.035616438,18727
"36",2023-09-01,"Bruce Springsteen","MetLife Stadium",5836722,5605386.96438356,6118881,231335.035616438,-282159
"37",2023-09-03,"Bruce Springsteen","MetLife Stadium",3877474,5605386.96438356,6118881,-1727912.96438356,-2241407
"38",2024-10-04,"P!NK","MetLife Stadium",6275746,5722159.65300546,6144211.5,553586.346994536,131534.5
